provincia,categoria,score,hotel,puntaje
Esmeraldas,Location,9.0,Hotel Makana Resort,8.4
Esmeraldas,Free WiFi,7.2,Hotel Makana Resort,8.4
Esmeraldas,Staff,9.2,La Bocana,8.7
Esmeraldas,Facilities,8.6,La Bocana,8.7
Esmeraldas,Cleanliness,9.1,La Bocana,8.7
Esmeraldas,Comfort,9.0,La Bocana,8.7
Esmeraldas,Value for money,8.7,La Bocana,8.7
Esmeraldas,Location,9.1,La Bocana,8.7
Esmeraldas,Free WiFi,7.2,La Bocana,8.7
Esmeraldas,Staff,10,Departamentos frente al mar Resort Playa Azul,9.6
Esmeraldas,Facilities,9.4,Departamentos frente al mar Resort Playa Azul,9.6
Esmeraldas,Cleanliness,10,Departamentos frente al mar Resort Playa Azul,9.6
Esmeraldas,Comfort,10,Departamentos frente al mar Resort Playa Azul,9.6
Esmeraldas,Value for money,9.7,Departamentos frente al mar Resort Playa Azul,9.6
Esmeraldas,Location,10,Departamentos frente al mar Resort Playa Azul,9.6
Esmeraldas,Staff,8.4,Suite Makana #403,8.6
Esmeraldas,Facilities,8.2,Suite Makana #403,8.6
Esmeraldas,Cleanliness,8.6,Suite Makana #403,8.6
Esmeraldas,Comfort,8.6,Suite Makana #403,8.6
Esmeraldas,Value for money,8.1,Suite Makana #403,8.6
Esmeraldas,Location,9.3,Suite Makana #403,8.6
Esmeraldas,Free WiFi,9.2,Suite Makana #403,8.6
Esmeraldas,Staff,8.9,Caramba Hospedaje,8.6
Esmeraldas,Facilities,8.6,Caramba Hospedaje,8.6
Esmeraldas,Cleanliness,8.8,Caramba Hospedaje,8.6
Esmeraldas,Comfort,8.6,Caramba Hospedaje,8.6
Esmeraldas,Value for money,8.3,Caramba Hospedaje,8.6
Esmeraldas,Location,9.4,Caramba Hospedaje,8.6
Esmeraldas,Free WiFi,8.8,Caramba Hospedaje,8.6
Esmeraldas,Staff,9.2,Hotel Salduba,9.1
Esmeraldas,Facilities,8.9,Hotel Salduba,9.1
Esmeraldas,Cleanliness,9.3,Hotel Salduba,9.1
Esmeraldas,Comfort,9.1,Hotel Salduba,9.1
Esmeraldas,Value for money,8.7,Hotel Salduba,9.1
Esmeraldas,Location,8.9,Hotel Salduba,9.1
Esmeraldas,Free WiFi,7.5,Hotel Salduba,9.1
Esmeraldas,Staff,8.6,Casa del mar,6.7
Esmeraldas,Facilities,8.9,Casa del mar,6.7
Esmeraldas,Cleanliness,8.9,Casa del mar,6.7
Esmeraldas,Comfort,8.9,Casa del mar,6.7
Esmeraldas,Value for money,8.9,Casa del mar,6.7
Esmeraldas,Location,6.7,Casa del mar,6.7
Esmeraldas,Staff,9.2,Tus Vacaciones en Tonsupa Ecuador.,9.1
Esmeraldas,Facilities,8.8,Tus Vacaciones en Tonsupa Ecuador.,9.1
Esmeraldas,Cleanliness,8.9,Tus Vacaciones en Tonsupa Ecuador.,9.1
Esmeraldas,Comfort,8.8,Tus Vacaciones en Tonsupa Ecuador.,9.1
Esmeraldas,Value for money,8.8,Tus Vacaciones en Tonsupa Ecuador.,9.1
Esmeraldas,Location,8.0,Tus Vacaciones en Tonsupa Ecuador.,9.1
Esmeraldas,Free WiFi,10,Tus Vacaciones en Tonsupa Ecuador.,9.1
Esmeraldas,Staff,8.7,Departamentos frente al mar en Resort Playa Azul-Tonsupa,8.6
Esmeraldas,Facilities,8.7,Departamentos frente al mar en Resort Playa Azul-Tonsupa,8.6
Esmeraldas,Cleanliness,8.6,Departamentos frente al mar en Resort Playa Azul-Tonsupa,8.6
Esmeraldas,Comfort,8.8,Departamentos frente al mar en Resort Playa Azul-Tonsupa,8.6
Esmeraldas,Value for money,8.1,Departamentos frente al mar en Resort Playa Azul-Tonsupa,8.6
Esmeraldas,Location,9.0,Departamentos frente al mar en Resort Playa Azul-Tonsupa,8.6
Esmeraldas,Free WiFi,5.2,Departamentos frente al mar en Resort Playa Azul-Tonsupa,8.6
Cuenca,Staff,8.8,Hotel Santiago de Compostella Suites,8.1
Cuenca,Facilities,8.2,Hotel Santiago de Compostella Suites,8.1
