id,provincia,categoria,score
51,Esmeraldas,Staff,9.1
51,Esmeraldas,Facilities,8.4
51,Esmeraldas,Cleanliness,8.5
51,Esmeraldas,Comfort,8.5
51,Esmeraldas,Value for money,8.6
51,Esmeraldas,Location,9.1
51,Esmeraldas,Free WiFi,7.5
52,Esmeraldas,Staff,9.4
52,Esmeraldas,Facilities,8.9
52,Esmeraldas,Cleanliness,9.2
52,Esmeraldas,Comfort,9.1
52,Esmeraldas,Value for money,8.6
52,Esmeraldas,Location,9.5
52,Esmeraldas,Free WiFi,7.9
53,Esmeraldas,Staff,9.2
53,Esmeraldas,Facilities,8.5
53,Esmeraldas,Cleanliness,8.9
53,Esmeraldas,Comfort,8.7
53,Esmeraldas,Value for money,8.6
53,Esmeraldas,Location,9.4
53,Esmeraldas,Free WiFi,8.5
54,Esmeraldas,Staff,9.0
54,Esmeraldas,Facilities,9.2
54,Esmeraldas,Cleanliness,9.3
54,Esmeraldas,Comfort,9.3
54,Esmeraldas,Value for money,8.9
54,Esmeraldas,Location,9.4
54,Esmeraldas,Free WiFi,7.9
55,Esmeraldas,Staff,8.9
55,Esmeraldas,Facilities,9.1
55,Esmeraldas,Cleanliness,9.3
55,Esmeraldas,Comfort,9.3
55,Esmeraldas,Value for money,9.0
55,Esmeraldas,Location,8.6
56,Esmeraldas,Staff,8.7
56,Esmeraldas,Facilities,8.7
56,Esmeraldas,Cleanliness,8.8
56,Esmeraldas,Comfort,9.0
56,Esmeraldas,Value for money,8.2
56,Esmeraldas,Location,7.9
56,Esmeraldas,Free WiFi,7.5
57,Esmeraldas,Staff,9.5
57,Esmeraldas,Facilities,8.8
57,Esmeraldas,Cleanliness,8.9
57,Esmeraldas,Comfort,9.2
57,Esmeraldas,Value for money,9.1
57,Esmeraldas,Location,8.9
57,Esmeraldas,Free WiFi,6.4
58,Esmeraldas,Staff,9.2
58,Esmeraldas,Facilities,8.6
58,Esmeraldas,Cleanliness,9.0
58,Esmeraldas,Comfort,8.8
58,Esmeraldas,Value for money,8.5
58,Esmeraldas,Location,7.9
58,Esmeraldas,Free WiFi,7.2
59,Esmeraldas,Staff,9.3
59,Esmeraldas,Facilities,9.4
59,Esmeraldas,Cleanliness,9.4
59,Esmeraldas,Comfort,9.5
59,Esmeraldas,Value for money,9.2
59,Esmeraldas,Location,9.8
60,Esmeraldas,Staff,8.7
60,Esmeraldas,Facilities,8.7
60,Esmeraldas,Cleanliness,8.9
60,Esmeraldas,Comfort,8.9
60,Esmeraldas,Value for money,8.5
60,Esmeraldas,Location,8.6
60,Esmeraldas,Free WiFi,7.5
61,Esmeraldas,Staff,9.2
61,Esmeraldas,Facilities,8.5
61,Esmeraldas,Cleanliness,8.9
61,Esmeraldas,Comfort,8.9
61,Esmeraldas,Value for money,8.7
61,Esmeraldas,Location,9.5
61,Esmeraldas,Free WiFi,8.2
62,Esmeraldas,Staff,8.8
62,Esmeraldas,Facilities,7.9
62,Esmeraldas,Cleanliness,8.7
62,Esmeraldas,Comfort,8.4
62,Esmeraldas,Value for money,7.3
62,Esmeraldas,Location,8.6
63,Esmeraldas,Staff,9.2
63,Esmeraldas,Facilities,9.1
63,Esmeraldas,Cleanliness,9.5
63,Esmeraldas,Comfort,9.5
63,Esmeraldas,Value for money,8.9
63,Esmeraldas,Location,9.2
63,Esmeraldas,Free WiFi,10
64,Esmeraldas,Staff,9.2
64,Esmeraldas,Facilities,8.6
64,Esmeraldas,Cleanliness,8.9
64,Esmeraldas,Comfort,9.0
64,Esmeraldas,Value for money,8.7
64,Esmeraldas,Location,9.6
64,Esmeraldas,Free WiFi,7.5
65,Esmeraldas,Staff,9.3
65,Esmeraldas,Facilities,8.8
65,Esmeraldas,Cleanliness,9.3
65,Esmeraldas,Comfort,8.9
65,Esmeraldas,Value for money,8.8
65,Esmeraldas,Location,8.7
65,Esmeraldas,Free WiFi,6.3
66,Esmeraldas,Staff,8.7
66,Esmeraldas,Facilities,8.4
66,Esmeraldas,Cleanliness,9.0
66,Esmeraldas,Comfort,9.0
66,Esmeraldas,Value for money,8.0
66,Esmeraldas,Location,9.0
66,Esmeraldas,Free WiFi,7.2
67,Esmeraldas,Staff,9.2
67,Esmeraldas,Facilities,8.6
67,Esmeraldas,Cleanliness,9.1
67,Esmeraldas,Comfort,9.0
67,Esmeraldas,Value for money,8.7
67,Esmeraldas,Location,9.1
67,Esmeraldas,Free WiFi,7.2
68,Esmeraldas,Staff,10
68,Esmeraldas,Facilities,9.4
68,Esmeraldas,Cleanliness,10
68,Esmeraldas,Comfort,10
68,Esmeraldas,Value for money,9.7
68,Esmeraldas,Location,10
69,Esmeraldas,Staff,8.4
69,Esmeraldas,Facilities,8.2
69,Esmeraldas,Cleanliness,8.6
69,Esmeraldas,Comfort,8.6
69,Esmeraldas,Value for money,8.1
69,Esmeraldas,Location,9.3
69,Esmeraldas,Free WiFi,9.2
70,Esmeraldas,"",""
71,Esmeraldas,Staff,8.9
71,Esmeraldas,Facilities,8.6
71,Esmeraldas,Cleanliness,8.8
71,Esmeraldas,Comfort,8.6
71,Esmeraldas,Value for money,8.3
71,Esmeraldas,Location,9.4
71,Esmeraldas,Free WiFi,8.8
72,Esmeraldas,Staff,9.2
72,Esmeraldas,Facilities,8.9
72,Esmeraldas,Cleanliness,9.3
72,Esmeraldas,Comfort,9.1
72,Esmeraldas,Value for money,8.7
