id,hotel,puntaje,link_hotel,provincia
14,Hotel Kemarios,9.0,https://www.booking.com/hotel/ec/kemarios.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
15,Resort Playa Azul Departamentos frente al mar,9.3,https://www.booking.com/hotel/ec/resort-playa-azul.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
16,Hotel Makana Resort,8.4,https://www.booking.com/hotel/ec/makana.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
17,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5,https://www.booking.com/hotel/ec/resort-playa-almendro-tonsupa-4-habitaciones.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
18,Hotel Cielo Azul,9.0,https://www.booking.com/hotel/ec/cielo-azul.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
19,Hotel Salduba,9.1,https://www.booking.com/hotel/ec/salduba-tonsupa.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
20,Hotel Andy,8.9,https://www.booking.com/hotel/ec/andy-atacames.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
21,Caramba Hospedaje,8.6,https://www.booking.com/hotel/ec/caramba-hospedaje.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
22,Cabañas Ecologicas Cayapas,8.8,https://www.booking.com/hotel/ec/hosteria-cayapas.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
23,Departamento Frente al Mar Diamond Beach,9.4,https://www.booking.com/hotel/ec/diamond-beach-tonsupa1234.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
24,Puerto Esperanza - Cabaplan,9.2,https://www.booking.com/hotel/ec/puerto-esperanza-cabaplan.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
25,Hotel El Marqués,9.1,https://www.booking.com/hotel/ec/el-marques.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
